IDEPT,ISDEPT,ICLAS,ISCLAS,ISTORE,RANK,STORE,IMFGR,MFC,INUMBR,IDESCR,ISTYPE,iPhone,EOL,ICUCST,IBHAND,IBPOOQ,IBTOOQ,DC,AVAILABLE,Sugg,To Order,AVLST3WKSL,AVLST8WKSL,IBWKCR,IBWK01,IBWK02,IBWK03,IBWK04,IBWK05,IBWK06,IBWK07,IBWK08,IVNDP#,IRLSDT,
7,74,740,107,132,B,Topsail,840,Cesium,1383381,SANDISK 4GB MICROSD CARD,1,,,9.44,0,0,0,20,0,3,3,0.7,0.4,0,1,0,1,0,0,0,0,1,SDSDQ004GC11M,110214,
7,74,742,103,313,A,South Common,1022,Cesium,1366842,IPHONE 4 ISKIN SOLO BLACK,1,iphone 4,,13.98,2,0,0,10,2,1,2,1.3,1.3,0,3,1,0,1,1,1,0,3,SOLO4GBK,101020,
7,74,742,103,311,B,Aurora,1022,Cesium,1367911,IPHONE 4 ISKIN SOLO PURPLE,1,iphone 4,,14.84,0,2,0,10,2,1,2,1.3,0.8,0,1,2,1,0,0,0,2,0,SOLO4GPE,101021,
7,74,740,103,311,B,Aurora,400,Avoca,1396552,HTC DESIRE C SKIN BLACK,1,,,5.12,0,0,0,9,0,1,2,0.3,0.1,0,1,0,0,0,0,0,0,0,TPHT01BK,120716,
7,74,740,103,120,B,Fredericton,400,Avoca,1396554,HTC DESIRE C SKIN WHITE,1,,,5.12,0,0,0,0,0,3,3,0.7,0.3,0,1,0,1,0,0,0,0,0,TPHT01WH,120716,
7,74,740,103,120,B,Fredericton,400,Avoca,1396868,LG OPTIMUS L3 AVOCA SKIN BLACK,1,,,5.12,0,0,0,9,0,1,2,0.3,0.1,1,0,1,0,0,0,0,0,0,TPLG06BKS,120905,
7,74,740,103,120,B,Fredericton,400,Avoca,1396867,LG OPTIMUS L3 AVOCA SKIN PURPL,1,,,5.12,0,0,0,9,0,3,3,0.7,0.3,0,1,0,1,0,0,0,0,0,TPLG06PES,120905,
7,74,742,112,120,B,Fredericton,610,Cesium,1389860,IPHONE 4S ANTI-GLARE FILM SET,1,iphone 4,,9.99,1,2,0,44,3,1,2,2,1.5,0,3,2,1,1,1,0,2,2,TRU144,100726,
7,74,742,112,311,B,Aurora,610,Cesium,1389860,IPHONE 4S ANTI-GLARE FILM SET,1,iphone 4,,9.99,6,0,0,44,6,2,2,3.7,4.3,1,6,1,4,5,6,5,5,2,TRU144,100726,
7,74,740,112,311,B,Aurora,610,Cesium,1396311,SM GALAXY S3 ANTI-GLARE FILM,1,,,9.99,1,2,0,4,3,1,2,1.3,1.1,0,1,2,1,0,1,2,0,2,TRU989,120608,
7,74,740,103,313,A,South Common,1022,Cesium,1396595,SM GALAXY S3 ISKIN VIBES BLUE,1,,,14.84,0,0,0,2,0,3,3,1,0.5,0,2,0,1,0,0,0,0,1,VBSSG3BE1,120723,
