A0138557741     160420              63387   08/28/06   35000       109/08/06ALTO DAIRY                    
A0138557741     160420              64063   09/25/06   10000   1000009/26/06ALTO DAIRY                    
A0138557741     160420              64883   10/30/06   10000   1000010/31/06ALTO DAIRY                    
A0138557741     160420              65453   11/28/06   16000   1600011/29/06ALTO DAIRY                    
A0138557741     160420              65624   12/05/06   40000       112/11/06ALTO DAIRY                    
A0138557741     160420              66159   01/02/07   20000   2000001/03/07ALTO DAIRY                    
A0138557741     160420              66989   02/06/07   22000   2200002/07/07ALTO DAIRY                    
A0138557741     160420              67281   02/20/07   40000       103/01/07ALTO DAIRY                    
A0138557741     160420              68622   04/23/07   20000   2000004/24/07ALTO DAIRY                    
A0138557741     160420              70949   07/30/07   10000   1000008/01/07ALTO DAIRY                    
A0138557741     160420              71710   08/31/07   11000   1100008/31/07ALTO DAIRY                    
A0138557741     160420              71749   09/04/07   20000       109/14/07ALTO DAIRY                    
A0138557741     160420              72951   10/29/07   20000   2000010/31/07ALTO DAIRY                    
A0138557741     160420              73461   11/20/07   25000       112/10/07ALTO DAIRY                    
A0138557741     160420              73960   12/18/07   26000   2600012/19/07ALTO DAIRY                    
A0138557742     168440              49432   02/14/05   16000   1600002/15/05ALTO DAIRY                    
A0138557742     168440              51154   04/13/05       1       104/27/05ALTO DAIRY                    
A0138557742     168440              52522   06/06/05   26000   2600006/07/05ALTO DAIRY                    
A0138557742     168440              55416   09/26/05   25000   2580009/30/05ALTO DAIRY                    
A0138557742     168440              56672   11/14/05   30000   3000011/16/05ALTO DAIRY                    
A0138557742     168440              60254   04/17/06   10000   1000004/18/06ALTO DAIRY                    
A0138557742     168440              61625   06/13/06   20000   2000006/16/06ALTO DAIRY                    
A0138557742     168440              63050   08/14/06   10000   1000008/15/06ALTO DAIRY                    
A0138557742     168440              63387   08/28/06   35000       109/08/06ALTO DAIRY                    
A0138557742     168440              64063   09/25/06   10000   1000009/26/06ALTO DAIRY                    
A0138557742     168440              65453   11/28/06   26000   2600011/29/06ALTO DAIRY                    
A0138557742     168440              65624   12/05/06   30000       112/11/06ALTO DAIRY                    
A0138557742     168440              66989   02/06/07   29800   2980002/07/07ALTO DAIRY                    
A0138557742     168440              67281   02/20/07   40000       103/01/07ALTO DAIRY                    
A0138557742     168440              68622   04/23/07   20000   2000004/24/07ALTO DAIRY                    
A0138557742     168440              70949   07/30/07   10000   1000008/01/07ALTO DAIRY                    
A0138557742     168440              71710   08/31/07   11000   1100008/31/07ALTO DAIRY                    
A0138557742     168440              71749   09/04/07   20000       109/14/07ALTO DAIRY                    
A0138557742     168440              73312   11/14/07   20000   2000011/15/07ALTO DAIRY                    
A0138557742     168440              73461   11/20/07   25000       112/10/07ALTO DAIRY                    
A0138557742     168440              74196   01/04/08   26000   2600001/04/08ALTO DAIRY                    
A0138556150     193600              48532   01/13/05   10000   1000001/13/05ALTO DAIRY                    
A0138556150     193600              50041   03/07/05   10000   1000003/08/05ALTO DAIRY                    
A0138556150     193600              51681   05/04/05       1       105/12/05ALTO DAIRY                    
A0138556150     193600              51816   05/09/05   10000   1000005/12/05ALTO DAIRY                    
A0138556150     193600              52410   05/31/05   10000   1000006/02/05ALTO DAIRY                    
A0138556150     193600              53935   08/01/05   21000   2100008/02/05ALTO DAIRY                    
A0138556150     193600              55559   12/05/05   40000       112/09/05ALTO DAIRY                    
A0138556150     193600              55614   10/03/05   10000   1000010/04/05ALTO DAIRY                    
A0138556150     193600              56672   11/14/05   10000   1000011/16/05ALTO DAIRY                    
A0138556150     193600              57348   12/12/05   20000   2000012/13/05ALTO DAIRY                    
A0138556150     193600              58370   01/30/06   20000   2000002/01/06ALTO DAIRY                    
A0138556150     193600              60408   04/24/06   20000   2000004/25/06ALTO DAIRY                    
A0138556150     193600              61160   05/23/06   30000       106/09/06ALTO DAIRY                    
A0138556150     193600              61543   06/08/06   20000   2000006/08/06ALTO DAIRY                    
A0138556150     193600              62060   06/29/06   10000   1000007/06/06ALTO DAIRY                    
A0138556150     193600              62081   06/29/06   30000       107/13/06ALTO DAIRY                    
A0138556150     193600              63049   08/14/06   10000   1000008/15/06ALTO DAIRY                    
A0138556150     193600              64060   09/25/06   22000   2200009/26/06ALTO DAIRY                    
A0138556150     193600              64884   10/31/06   30000       111/14/06ALTO DAIRY                    
A0138556150     193600              65198   11/14/06   10000   1000011/15/06ALTO DAIRY                    
A0138556150     193600              65920   12/19/06   20000   2000012/19/06ALTO DAIRY                    
A0138556150     193600              66223   01/05/07   30000       102/05/07ALTO DAIRY                    
A0138556150     193600              67151   02/13/07   20000   2000002/13/07ALTO DAIRY                    
A0138556150     193600              67170   05/23/07   60000       106/11/07ALTO DAIRY                    
A0138556150     193600              67762   03/14/07   12000   1200003/15/07ALTO DAIRY                    
A0138556150     193600              68179   04/03/07   20000   2000004/09/07ALTO DAIRY                    
A0138556150     193600              69772   06/08/07   20000   2000006/12/07ALTO DAIRY                    
